Question,Answer
What is the specific CTS number of the land in Aarey Dairy being transferred for the service road?,"The land is identified as CTS No. 589A in Aarey Dairy, Pahadi Goregaon."
What is the total area of land being transferred from Aarey Dairy to the Brihanmumbai Municipal Corporation?,"The total area being transferred is 21,493.30 square meters."
What is the designated width of the service road to be constructed on the transferred Aarey land?,The service road will have a width of 18.30 meters.
Between which two landmarks is the service road in Aarey Dairy proposed to be constructed?,The road is proposed to run from Shivdham crematorium to the Aarey check post near the Jogeshwari West Expressway.
Who is responsible for the construction of the retaining wall of Aarey Dairy Colony along the Western Expressway?,"The construction has been undertaken by the Public Works Special Projects Department, Aarey."
What is the funding pattern for the National Mission on Sustainable Agriculture (NMSA) - Forest Farming Sub-Mission?,The funding pattern is a ratio of 60:40 between the Central Government and the State Government.
What is the exact Central share amount approved for the Forest Farming Sub-Mission administrative approval in 2017-18?,Rs. 398.94 lakhs.
What is the exact State share amount approved for the Forest Farming Sub-Mission administrative approval in 2017-18?,Rs. 265.96 lakhs.
What is the total budget approved for the strengthening of Fertilizer Control Laboratories under RKVY?,Rs. 100.00 lakhs.
How much fund is allocated specifically for the purchase of equipment at the Commissionerate Level for Fertilizer Control Laboratories?,Rs. 24.00 lakhs.
How much is allocated for NABL Registration Fees and Training for the laboratories?,Rs. 7.00 lakhs.
Who is the Chairman of the one-member inquiry committee constituted by the Animal Husbandry Department?,"Mr. Mukesh Khullar, Additional Chief Secretary (Services), General Administration Department."
What is the specific allegation being investigated by the Mukesh Khullar committee?,"The committee is investigating alleged manipulation of tender terms, specifically the non-inclusion of condition No. 10(b) in the contract during procurement for 2016-17."
What was the deadline for the inquiry committee to complete its term?,"March 26, 2018."
Which legislative session raised the starred question regarding the Animal Husbandry procurement irregularities?,The Budget Session of the Legislative Council in 2018.
Which universities are the beneficiaries of the revised grant estimates for 2017-18?,"Mahatma Phule Agricultural University (Rahuri), Dr. Balasaheb Sawant Konkan Agricultural University (Dapoli), Dr. Punjabrao Deshmukh Agricultural University (Akola), and Vasantrao Naik Marathwada Agricultural University (Parbhani)."
What is the revised grant amount for Mahatma Phule Agricultural University for 'Subsidy to M.F.C.V.' (Non-Salaried)?,"Rs. 25,21,89,000."
What is the total revised grant for reimbursement of educational fees for EWS students at Dr. Balasaheb Sawant Konkan Agricultural University?,"Rs. 4,06,35,000."
Under which budget head are the grants to Agricultural Universities disbursed?,"Demand No. D-3, head '2415 Agricultural Research and Education', sub-heading '01 Crop Conservation'."
How many temporary 'Pumpkin Helper' posts were extended in the Vegetable and Fruit schemes?,409 posts.
How many 'Agricultural Supervisor' posts were extended in the Vegetable and Fruit schemes?,114 posts.
"Until what date have the 13,439 temporary posts under the Commissionerate of Agriculture been extended?","September 30, 2018."
How many temporary posts are located in the Divisional and District Agricultural Offices under the extension order?,"9,703 posts."
What is the purpose of the project approved under Government Resolution No. Rakruvi-2018/No.6/Padum-4?,To provide artificial insemination facilities for cows and buffaloes at the doorstep of farmers.
When was the first administrative approval given for the artificial insemination at doorstep project?,"October 17, 2012."
Who acts as the Control Officer at the Taluka Level for the NMSA Forest Farming funds?,The Taluka Agriculture Officer.
Which officer is the Drawing and Disbursing Officer for NMSA funds at the District Level?,The Accountant in the office of the concerned District Superintendent Agriculture Officer.
What is the specific budget head for the State Share (40%) of the NMSA Forest Farming scheme?,Demand No. D-3 2401 Crop Protection 109 Extension and Farmers Training (01) (57)... (2401A833) 33 Financial Assistance.
Are the temporary posts in the Vegetable/Fruit schemes permanent?,"No, they are temporary posts."
Who is responsible for furnishing the necessary files and documents to the Inquiry Committee regarding the procurement irregularity?,The office of the Department of Animal Husbandry (Padum-4).
question,answer
